Username,Text,Hashtags,Followers,Friends
sbantastic,RT @melrngx: I filled this out at least 50 times lol let devin know you support #BLM https://t.co/gdJ4JSY6iO https://t.co/DuRdU0EPe7,['BLM'],119,330
Fandeya1,President #Trump #Trump2020 pay attention to welfare vulture immigrant #oromo #terrorism who are falsifying injusti… https://t.co/XrfgIDYKiF,"['Trump', 'Trump2020', 'oromo', 'terrorism']",1,4
Ayesha24276226,"RT @TayyabGulfam: Pakistani mens are just work of art. #MeToo
https://t.co/Nk155Bb9r0",['MeToo'],18,24
ishaqhyd, Rs 80 lakh charged by Yashoda &amp; KIMS hospitals in #Hyderabad for treating 3 people of a family from Mancherial for #COVIDー…,['Hyderabad'],41,259
Gnrl_Strike_Bot,"RT @muellerwiese: Sep 13 00:58🖐️The nightmare will end in 52 days👉Only if you VOTE!
📈📈📈☠☠☠☠☠☠☠
🇺🇸Cases: 6,676,601
🇺🇸Deaths:  198,128
🇺🇸Case…",,2003,2
havanaman20,"RT @1blantdaddy: @realDonaldTrump @OANN This is 5 blocks from the Mexico border in Laredo Texas sir. 

https://t.co/cjAAReZHdo",,2746,2942
DeCaL79793853, Every election cycle #Democrats and their #Antifa and #BLM funded agitators gin up hatred of the police to get votes. W…,"['Democrats', 'Antifa', 'BLM']",2,41
thirdeyeivy," tw // police brutality 
The buffalo police dept. shot a black man today for absolutely no reason while responding to a…",,19,78
ngyourmother," Desperate, hopeless and depressed, a mother of #12hkyouths burst into tears when telling her son is sick w/o medicine in…",['12hkyouths'],0,35
Garage_Floor, @RepMattGaetz @realDonaldTrump #Trump HAD NO PLAN; still HAS NO PLAN. Our #RepublicanParty was SCREWED by #Trump; you are…,"['Trump', 'RepublicanParty', 'Trump']",3636,1707
AlvinPlayz16,"RT @DichotomyRevo: 𝙏𝙧𝙪𝙢𝙥: 𝙏𝙝𝙚 𝘽𝙞𝙜𝙜𝙚𝙨𝙩 𝙆𝙞𝙡𝙡𝙚𝙧 𝙄𝙣 𝘼𝙢𝙚𝙧𝙞𝙘𝙖𝙣 𝙃𝙞𝙨𝙩𝙤𝙧𝙮

#TrumpViolence #TrumpChaos #TrumpDoesntCare #TrumpVirus #TrumpIsANational…","['TrumpViolence', 'TrumpChaos', 'TrumpDoesntCare', 'TrumpVirus']",4,164
brownskinnono," #SaveTheChildren 
#SAVEOURCHILDEN 

Kids are being stolen everyday. We need to stand up against pedophiles, Kidnappers and ri…","['SaveTheChildren', 'SAVEOURCHILDEN']",6108,1114
natabasso,"@cssmithteach Thanks for the response, Chris. 

Along that line of thinking, is #BlackLivesMatter just one polarize… https://t.co/T30FRPEuaf",['BlackLivesMatter'],500,520
RSMeanjin, We've had more than one Blak death a fortnight at the hands of the police and prison system in this colony since the first #BL…,,821,233
frenchiesrock," 🔥In Charlotte, BLM chants, “F your Jesus”

🔥I thought #BLM was about black lives!?

🔥When will people wake up and realize that…",['BLM'],4331,4897
MeatMechSuit," If you’re worried about the #COVID19 protests in NZ yesterday, check out our #disinformation graphic. Social media is design…","['COVID19', 'disinformation']",928,4977
pet_vla,"RT @larwoolf: Once again, #Trump promises to violate the Constitution and make himself dictator. 
@realDonaldTrump #nevadarally 
https://t.…","['Trump', 'nevadarally']",144,1219
Dirka24136749," Imagine that because of her views she is an example of who the ignorant leftists, Antifa and #BlackLivesMatter supporters…",['BlackLivesMatter'],71,217
ReneeGiraldy,@Joy_Villa This is is the new America I hope #BLM is happy,['BLM'],22736,15344
MDesertfoxy, Every election cycle #Democrats and their #Antifa and #BLM funded agitators gin up hatred of the police to get votes. W…,"['Democrats', 'Antifa', 'BLM']",363,652
clarissar2003,@NFL @TDLockett12 Imagine what it’s like to be a police officer in America. Have these officers sacrificed enough t… https://t.co/DgiKuqym9E,,92,329
lipstickkillerz," I believe most #Democrats, like most #Republicans to be decent, independent thinkers who put America before party poli…","['Democrats', 'Republicans']",116,101
a_ruatkim,"Oh Lord,show your face now without your power we are dull, your Mighty hands is all that we need 😷🤧#covid19 #COVIDー19","['covid19', 'COVIDー19']",0,5
KVajpayaee,#Katyayan #caaprotest #DelhiPoliceFakeCase #DelhiRiots #HumanRights #racism #Fascism #ModiLies #CowardModi… https://t.co/KKQTkppg0a,"['Katyayan', 'caaprotest', 'DelhiPoliceFakeCase', 'DelhiRiots', 'HumanRights', 'racism', 'Fascism', 'ModiLies', 'CowardModi']",40173,37128
Project_UDAYA,"“Evidence, research is going to help deliver high impact interventions reaching every child &amp;  every mother”, says… https://t.co/7gw6tS2ERn",,46,126
stephtrejo4,RT @KaeUnruly: This isn't just a trend. #BLM https://t.co/fbmMC3PMRZ,['BLM'],652,310
hfc7507, Every election cycle #Democrats and their #Antifa and #BLM funded agitators gin up hatred of the police to get votes. W…,"['Democrats', 'Antifa', 'BLM']",1399,1446
SeeJohn3_5,@FanOfTheFlock @netflix Truly disgusting #CancelNetflx #SaveOurChildren #SaveTheChildren,"['CancelNetflx', 'SaveOurChildren', 'SaveTheChildren']",29,38
Rebel_ROars, #PMGKAY introduced by the @narendramodi government is assisting lakhs of families across the country in testing times d…,['PMGKAY'],34,50
