Username,Text,Hashtags,Followers,Friends
mahs4biden2020," Don’t forget to join the weekly national phone banks! Phone banking is critical to getting out the vote for Biden, and…",,107,86
heb4265," Man, Trump just spoke for nearly 2 hours in epic Nevada rally. . Biden can't even talk to James Corden for 5 minutes wit…",,233,726
GerEllen," Trump described the killing of an antifa-linked suspect by US Marshals as 'retribution'

Police vigilantism is not Law and…",,526,977
omyword,RT @axios: NEW: Bloomberg to spend $100 million to help Biden win Florida https://t.co/isrLm93tuE,,2459,4797
TWright84845361,"Can you say "" dumfuq""?  This is the PATRIOT  40%  of Americans believe in.  Let that sink in for just a minute.",,397,457
firebird7523, @ScottAdamsSays I was at a graduation in 2016 in Delaware. Biden happened to be there and walked past me (surrounded b…,,2668,3267
Melanie99083291," I’m no expert, but I’m quite sure that Hillary Clinton deleting 33,000 emails is a much, much less serious crime than Dona…",,4,12
TiandreMcGee," Are you voting for @JoeBiden this Election? 
If Yes , please Retweet because I’d like to follow you.",,281,55
DBootcheck, It’s gonna be fun to vote Trump out.  Let’s make it a landslide party.,,37,89
jewchaacho, .@JoeBiden DOES NOT want to defund the police. Pass it on.,,116,193
jim468715621,@corevoice @sirDukeDevin @JoeBiden @KamalaHarris I’d be totally freaked out also if I thought babies were being kil… https://t.co/p2oa5njr5K,,149,447
ArtBarrena," A whistleblower with the @DNC has revealed an email saying should @JoeBiden win, he will resign with 60 days of  inaugurat…",,5045,5341
Pete2Shawn,FoxNews Poll: Biden-Trump a 5point race in post-convention poll🔺 “Majority of likely voters have + opinion of Biden… https://t.co/pILVIIaiK4,,1855,277
val26534947, Great ad,,2731,4467
Pankaj10419939,"RT @morningkashmir: #WorldNews: #US President #DonaldTrump has been nominated for a 2021 Nobel Peace Prize by #ChristianTybring, who is a m…","['WorldNews', 'US', 'DonaldTrump', 'ChristianTybring']",1,2
USA1stForUs," I am running for re-election to bring prosperity to Nevada, to put violent criminals behind bars, and to ensure the fu…",,3,134
ljb284,@BrandonStraka 2 can play that game. No dems.... no kkk...no marxist usa. No Biden....no kkk .... no racist usa. No… https://t.co/32iFkKU152,,131,661
vetterm5198,"If Joe Biden gets elected we will be thrown to the wolves of China, Iran, and their very own Socialist agenda and o… https://t.co/pPoy9pAARI",,276,871
RedSeal45,"RT @seanhannity: Anti-Border Security, Biden Runningmate Frontrunner, To Build 8-Foot Electric Fence Around Her Governor’s Mansion https://…",,99,252
sxdoc," LMAO 🤣😂
 @JoeBiden handlers think this is gonna make him look strong &amp; presidential?

Wearing a mask isn’t scientific or poli…",,218490,222747
ChosenByJesus,RT @joekulys: Biden Busted Using Teleprompter for Interviews? Reflection During Interview Shows Monitor With Writing... https://t.co/1HJjA4…,,3340,2170
deb_ferrari,Mike Bloomberg to spend at least $100 million in Florida to benefit Joe Biden https://t.co/6pxPaJJURZ  Been wonderi… https://t.co/n1MUp6yDKJ,,3406,3580
Nunez6,"RT @kylegriffin1: Fox News poll:

National: Likely voters
Joe Biden 51%
Donald Trump 46%",,580,197
FuriousFarmBoy,Our President!,,3242,2098
GFrohbie,"RT @TeamTrump: President @realDonaldTrump: If Joe Biden wins then the rioters, anarchists and flag burners also win https://t.co/DWBvTjPG1Y",,22,16
SCM_Magilla, Will Biden get a telepromptor at the debates too? 🤣,,1492,2821
sarojhg,RT @mmfa: Pro-Trump disinformation efforts could tilt the entire election — if media outlets and tech companies let it happen https://t.co/…,,274,965
ViscountSean," THANK YOU, MR BLOOMBERG!",,1952,2524
DJFarmer14, If Biden can't handle James Corden without a teleprompter--how the hell is he going to face Trump?,,674,170
AndreaM4785," @markpmeredith @realDonaldTrump .@mattgaetz, Biden and his caregivers fail to see the deliberate steps that the Trump a…",,567,1058
CarolCole16,@Kona2Tx She is a Trump supporter. The point is to make Biden look bad. Just like this one is to make Trump look ba… https://t.co/HpLoGpS71a,,60,330
SuSu162020,"RT @DonaldJTrumpJr: Joe Biden voted for NAFTA and sent our jobs to China. 

https://t.co/lg3r5H1Wja",,45,239
DwaineSteven,"@BsHunter71 @KamVTV HAHAHAHAHAHA!

The black unemployment rate started falling under Barack HUSSEIN Obama in 2010..… https://t.co/4Hn4gYHmFu",,382,431
Regi3,RT @realTuckFrumper: Donald Trump Is The Real Public Enemy No. 1 https://t.co/fxeVjeMYNl,,2348,3938
joshualionel,@JoeBiden @KamalaHarris Is this a joke?,,5428,5814
StevenRCorey1," Do something about it @DonaldJTrumpJr and @realDonaldTrump 

Declare BLM a Terrorist organization!!!!!

#BlueLivesMatte…",,31286,33943
sparkles_74,@lisaiceland @JoeBiden @KamalaHarris And HOW will ALL that get paid for? NOT the taxpaying Americans none of us wan… https://t.co/rhxr10aoX8,,2370,2243
tommylowens1," I thought Mini Mike was through with Democrat politics after spending almost 2 Billion Dollars, and then giving the wo…",,258,229
Katherine022610," Joe Biden cannot LEAD our Country, because he does not BELIEVE in our Country. At Biden’s convention, they decried Ame…",,3630,3448
lance_exp,"RT @seanhannity: Anti-Border Security, Biden Runningmate Frontrunner, To Build 8-Foot Electric Fence Around Her Governor’s Mansion https://…",,58,236
mistercreek, Bloody Hell—Trump now attacking social distancing guidelines followed by  Biden campaign to reduce #COVID19 risk?! Talk abo…,['COVID19'],316,400
Kanta_Mizuno, The irony of the president who committed criminally negligent homicide saying this about his political opponent is prett…,,359,713
Drelll_a, fuck donald trump and anyone who stands with him hi hello i hope you’re sunday goes great,,125,512
languagewitch_,RT @mmfa: Pro-Trump disinformation efforts could tilt the entire election — if media outlets and tech companies let it happen https://t.co/…,,89,118
ValenTues,RT @jelle_simons: @realDonaldTrump Donald Trump is right. New York City is burning. https://t.co/KZNPXMN907,,82,325
Blonde1776," @DanScavino @jbtole2 @realDonaldTrump @JoeBiden take a look, you'll never have support like our GREAT PRESIDENT TRUMP, ea…",,312,789
mckinney37397,RT @1SikKat: @KamalaHarris @JoeBiden You're Such a Vomit! https://t.co/1TdjhybpFS,,1479,1122
Pan_Kockyj," #Epicentre.... America is working its way up to the June levels... With #Trump, no progress, no hope, no future...
Even the…","['Epicentre', 'Trump']",401,1435
leticia_piera,Peter Navarro is tap dancing for #Trump..shh let’s watch https://t.co/q212u5iXlB,['Trump'],62,21
Freedom_24_7,@madcave1728 I can prove with video clips joe lies on dozens of topics. Obviously if you can’t support someone who… https://t.co/SxWeN50s0n,,10823,10825
JustinReid_02,"Uhhhh @jmartNYT someone who ambushed police officers is an “animal” and imo, “deserves to be hit hard”.",,394,4947
JanetShorter8," Mike Bloomberg plans to spend at least $100 million in Florida to help elect Joe Biden, a massive late-stage infusion of…",,29,121
kantwynn, The gall. #Trump gets caught on audio admitting he knew how deadly  Covid was while telling us it was HOAX and they had i…,['Trump'],51,311
jjauthor, Will Biden get a telepromptor at the debates too? 🤣,,202069,83444
Debbie98011249, Please allow me to introduce myself. I’m a Biden supporter’s worst nightmare. Pleased to meet you!,,9,84
JamgaRNBSN," It’s just so damn amazing how the US survived eight years of Biden as vice president, right? It was so damn clever of him…",,606,3035
joecrim, .@smerconish has a reporter from @TheAtlantic on to discuss softball questions @Joebiden gets from the media (when he takes…,,28,120
AnnieOakley17th," Joe Biden in office means more cities burned, more cops killed, more mainstream media brainwashing and more normalizati…",,1586,1779
divapaulatx," I blame the media for inciting this horrific violence on the police.
I blame the silence from @JoeBiden and @KamalaHarr…",,212,595
cobraman428, Not sure why Biden isn't doing more to show he can outwork Trump,,984,1009
estepjill,"RT @RedTRaccoon: Biden’s tax plan isn’t socialism. It just undoes the GOP’s indefensible giveaways.

https://t.co/lRuHdtLP6w",,654,491
BenMastaitis," This is a really big deal.  Thank you @MikeBloomberg.  Florida is winnable.  If @JoeBiden wins Florida, which he will,…",,1992,5008
DSoonerborn,"RT @ScottAdamsSays: Has anyone compiled the biggest campaign lies from Biden/Harris? These whoppers come to mind:

1. Climate change causes…",,832,489
knaas,Who would have thought he would once again take credit for things Obama did?  Never has this Choice Act been done b… https://t.co/YWkoupLWtv,,1824,520
uciccolella, “Florida also has an in-person early voting period that varies by county and begins as early as Oct. 19 and ends as late as…,,651,433
OIBcomber, I’ve yet to meet anyone who worked alongside Donald Trump who doesn’t believe he is a rapist. @realDonaldTrump,,71,511
FormerLemming,RT @ThePublisher31: @Rothbard1776 @Breaking911 Blm is a Democrat fundraiser through actblue. https://t.co/B8Ac2koq6f goes to Biden campaign…,,5807,6178
ptsd1471," @ScottAdamsSays It's gotten to the point where I can't even bring myself to make Biden jokes anymore.

It's beyond sad.  It'…",,9405,9668
AjadeanPiper,"@PeterNavarro45, yeah. It happened.",,458,783
adnildyob,President Trump is frittering away the advantages of incumbency in his reelection bid - The Washington Post https://t.co/ZK0P9m3LK4,,5209,5226
Incognitosapien,RT @realDonaldTrump: I did more in 47 months as President than Sleepy Joe Biden did in 47 years! #MAGA https://t.co/EzcAswmrYE,['MAGA'],1527,4204
dawnbuesing," Mike Bloomberg to spend $100 mm on Joe Biden’s campaign JUST in Florida!

The money didn’t work for Mike, and I suspect it…",,5673,6159
Q_Oana, Not a @JoeBiden “rally.”,,480,509
RheaForTexans,Somebody just learned @MikeBloomberg is going to spend $100 million supporting @JoeBiden @KamalaHarris in #Florida.… https://t.co/jjFP1gQnZW,['Florida'],366,329
aaronloeb,Thread. Things to do. Actually helpful things to do!!! Yay!!!,,1547,2577
Rgilarreaza," I thought Mini Mike was through with Democrat politics after spending almost 2 Billion Dollars, and then giving the wo…",,283,753
deepakkanungo,RT @axios: NEW: Bloomberg to spend $100 million to help Biden win Florida https://t.co/isrLm93tuE,,4263,3808
Iwouldntwantto3,"@KarluskaP 330 million Americans have awaken
1 million fake Americans, including DC, MSM, Hollywood and outsiders h… https://t.co/a5vRHQHpnA",,11,165
MIDNIGHT0521, Listening to @realDonaldTrump is a lot like listening to a ferret on Benzedrine.,,673,2112
GhostWick14," “[Joe Biden] is the worst candidate in the history of presidential politics. He doesn’t know he’s alive, he doesn’t know he…",,18132,17092
TimothyXeoc," I am running for re-election to bring prosperity to Nevada, to put violent criminals behind bars, and to ensure the fu…",,740,824
TomSully1987, Will Biden get a telepromptor at the debates too? 🤣,,3095,4995
trumpsacrazyman,RT @jaketapper: WaPo: Mike Bloomberg to spend at least $100 million in Florida to benefit Joe Biden https://t.co/LqUjaTEup4,,315,656
ayydare, Antiwar President Donald Trump has launched more air and drone strikes in Somalia over just the last year than Barack Obam…,,93,253
WhiskeyBooksGo,"RT @atrupar: ""He wants to ban energy"" -- Trump on Biden. Just totally absurd. https://t.co/IvbbbXVNA8",,117,256
ging_nancy,@RyanForgue @JoeBiden LOLOL. He has flipped on EVERYTHING he has SAID!!!,,732,107
EnglundBob, You can argue all day that there are a few minor ephemeral differences between Donald Trump and Jim Jones but honestly fr…,,2990,4674
BrxDFW,@Terrence_STR @KamalaHarris @JoeBiden Still a better choice than Trump.,,2347,4535
JoyceNana10, Oh man,,1464,2883
StuffedFantod,"RT @cit_uprising: Bloomberg is your typical billionaire. Selfish, greedy, cruel and humanity would be a lot better off without him. https:/…",,3255,5002
bestnaunieever, ...The far-left maniacs supporting Joe Biden are burning flags and chanting “America was never great.” But we know the…,,14844,13701
boatguy69,"RT @seanhannity: Anti-Border Security, Biden Runningmate Frontrunner, To Build 8-Foot Electric Fence Around Her Governor’s Mansion https://…",,1,37
Solmemes1," I am running for re-election to bring prosperity to Nevada, to put violent criminals behind bars, and to ensure the fu…",,128180,33828
MunsterAlt," Joe Biden cannot LEAD our Country, because he does not BELIEVE in our Country. At Biden’s convention, they decried Ame…",,4438,4842
nidula_b,"RT @kylegriffin1: Fox News poll:

National: Likely voters
Joe Biden 51%
Donald Trump 46%",,318,601
Yolanda53311253," @FOXNEWS 

Right &amp; Hillary Clinton was winning in landslide Friday Nov. 5th, 2016. Polls mean nothing &amp; the MSM proved it bac…",,2672,387
April70567037,@RealMattCouch Voting for Biden!,,9,51
kushkabelieber, We have to amplify @JoeBiden’s presence on this platform. It’s crazy that @realDonaldTrump has so many more followers - or le…,,1994,2109
JGraidernut,"@ProjectLincoln Shameful, Sick, Donald J Trump!
#CryBabyTrump",['CryBabyTrump'],98,209
ABin_81, We have to amplify @JoeBiden’s presence on this platform. It’s crazy that @realDonaldTrump has so many more followers - or le…,,147,696
RossMcleanSec,RT @ScottAdamsSays: Guess why this obvious election interference by Google isn't the biggest story in the country. Spoiler: It's because th…,,2915,2189
nothankyou01, They voted for him and now regret it. Why White women are turning away from Trump. Sorry Trump! It’s not 2016!  And we…,,2819,3056
SharonAlmalee, Jake Tapper has receipts of Trump misleading the American people about the deadliness of coronavirus relative to the flu -- an…,,3210,4262
morseherrick," I blame the media for inciting this horrific violence on the police.
I blame the silence from @JoeBiden and @KamalaHarr…",,3677,5001
2Disabled," Man, Trump just spoke for nearly 2 hours in epic Nevada rally. . Biden can't even talk to James Corden for 5 minutes wit…",,4556,4375
Clark2June, ICYMI - Mystery as Joe Biden Tweeted About the Pandemic Six Months Before America’s Pandemic and Even BEFORE COVID-19…,,7603,8360
goldywrites, We have to amplify @JoeBiden’s presence on this platform. It’s crazy that @realDonaldTrump has so many more followers - or le…,,1533,659
TrumpK4t,@thehill #Democrats when you donate $ to #BLM you are donating to #JoeBiden campaign which then funds #AntifaRiots… https://t.co/MBT56P9YiF,"['Democrats', 'BLM', 'JoeBiden', 'AntifaRiots']",3188,5003
Moe52971613,RT @realTuckFrumper: Donald Trump Is The Real Public Enemy No. 1 https://t.co/fxeVjeMYNl,,38,157
Jayicous,Bloomberg is wasting money to just ask for more.... Shame on him!,,90,252
tannawj," We just had 2 police officers ambushed by a  Biden voter, and BLM Biden voter's tried to storm the hospital they where be…",,860,1172
CarrionSoul, @CarrionSoul @SandraSBreen @ItBurns2WhenIP @alicia45KAG @dbongino @skb_sara @DaveSchreiber3 @Terri101092 @petluvers4Tru…,,11446,12526
Electric_Eyeee,@fred_guttenberg @MikeBloomberg @JoeBiden It’s about time.,,279,467
CarmenWhitmire,"You forgot Lincoln and RFK, but will we survive another 4 years of DJT that’s the question. There’s no way we would… https://t.co/Bob3I59DnM",,114,406
faithfulright," I am running for re-election to bring prosperity to Nevada, to put violent criminals behind bars, and to ensure the fu…",,16692,17881
DennisMurphy15,Sam Donaldson exposes Biden Lies https://t.co/G8Ztn8t2dr via @YouTube,,7785,8532
ritaremkeith,RT @BandyXLee1: We must read/hear correctly: Trump claims his reelection will “permanently destroy the lives and dreams of tens of millions…,,853,2359
putin_papi," If Al Gore had won New Hampshire, Florida wouldn’t have mattered and he’d have won",,15,202
TheresaCiaravi1," @ScottAdamsSays It's gotten to the point where I can't even bring myself to make Biden jokes anymore.

It's beyond sad.  It'…",,20,41
PatrioticGrams, Job-killing @JoeBiden spent 47 years BETRAYING American workers with trade deals like NAFTA that closed American facto…,,4462,4958
aragav8r," Just checked real clear politics , says Biden ahead 55% to 43%...Vegas odds has it 50 /50...we need to get the vote ou…",,18179,18508
WallHillStudios, We have to amplify @JoeBiden’s presence on this platform. It’s crazy that @realDonaldTrump has so many more followers - or le…,,1061,1931
MarkGern,"@ProjectLincoln Even if Biden wins, Trump is going to make a Biden Presidency ungovernable because he will set a la… https://t.co/RoVPrzNC7F",,20,88
BFCJez,"RT @jemelehill: Trump: I didn’t tell Americans about how bad coronavirus was going to be because I didn’t want to create any panic.

Also T…",,431,503
MrPandolian,RT @AdamParkhomenko: Don Jr endorses Joe Biden https://t.co/zkuZb8aPH7,,16,107
KaylynBelcher, Trump supporters rally on Tims Ford Lake. The lake was built by @TVAnews after the gov’t bought 1M+ acres to create the 34 r…,,53,185
MaureenCKelly,"The West Coast Burns, Communities Unravel With Each Death
 And Trump plays golf. Wake up America. We need a real Pr… https://t.co/7dQi6xnuUy",,128,189
johnfbjr," @realDonaldTrump You sure did allot more in 47 months than Biden in 47 hrs. 

It's amazing you got anything done at all wit…",,442,1308
tack_susan,"RT @seanhannity: Anti-Border Security, Biden Runningmate Frontrunner, To Build 8-Foot Electric Fence Around Her Governor’s Mansion https://…",,110,108
EMaslard," I thought Mini Mike was through with Democrat politics after spending almost 2 Billion Dollars, and then giving the wo…",,2138,1707
anagardenia20,We need a Real President we need @JoeBiden,,3,46
gjteeta, “She voted for Trump in 2016 because he was a political outsider and now plans to vote for Biden. ‘I would do anything to…,,72,67
HermanPumperni1,Afraid about rioters,,13,18
dank_knight67,"RT @ABC: JUST IN: By a 2-to-1 margin, most Americans think Joe Biden has more respect for those who serve in uniform than Pres. Trump does.…",,8663,9305
talbertson13, Please allow me to introduce myself. I’m a Biden supporter’s worst nightmare. Pleased to meet you!,,3996,4979
MarylouiseAwana,"RT @DeanObeidallah: Interesting wrinkle in new Fox News poll: In 2016, Trump got 57% of White vote to Hillary's 37%.
Today Trump is down in…",,22,135
thatpyrexvision,That shit is dandruff to him.,,370,2469
DavidNe99469223," I blame the media for inciting this horrific violence on the police.
I blame the silence from @JoeBiden and @KamalaHarr…",,1683,2043
val26534947,"RT @Turcotte_JPT: WATCH: Charles, a former union miner, says ""Obama and Biden destroyed"" the mining industry. ""I'll be voting for Trump,"" h…",,2731,4467
nstark1959," I’m case you couldn’t see it; this is a direct threat to Mike Bloomberg that if he supports Joe Biden, Trump will use th…",,34,422
annmcelhinney, The amount of money spent in election politics never ceases to blow my mind. Think of all the things $100 million could b…,,10231,1074
luv2pleaz1, @realDonaldTrump “We are unsafe in Trump’s America — and I find it funny that he keeps posting pictures from his Americ…,,235,1058
eyeofthegoddess, I’ve yet to meet anyone who worked alongside Donald Trump who doesn’t believe he is a rapist. @realDonaldTrump,,18552,17306
NJGooner,@Scaramucci @JoeBiden @realDonaldTrump not a big lie when they shush to defend the police officers across the count… https://t.co/zs1P81ko6v,,129,957
Tree4justice," “Mike Bloomberg to spend at least $100 million in Florida to benefit Joe Biden.”

If Trump loses FL, has no path. Good. ht…",,1885,4727
kimalyceosteen,"RT @atrupar: Joe Biden to Jake Tapper on his health: ""When it comes to Donald Trump versus me, just look at us. Okay? Who seems to be in sh…",,7519,8265
QAnon175," Let's retweet this, and spread it all over Twitter!  Let's make this the most watched video today!

If enough people see…",,220,306
saylorgirl7,"RT @Kredo0: NEW: Iran Behind Hack Attacks, Online Disinformation Campaigns to Boost Biden -- Tehran waging cyber attacks to sway 2020 presi…",,6756,6749
DirtDog14," These bastards are Biden supporters.

They want cops and you dead.

Vote accordingly.",,4252,4997
Lorinel19546290,@samuelwood111 @jzblove @ABC NOPE IT TOTALLY TRUE BIDEN BLUE TRUMP KNEW NOW SO DO YOU,,57,65
LeslieWilliamsz," I thought Mini Mike was through with Democrat politics after spending almost 2 Billion Dollars, and then giving the wo…",,3849,4980
Ben_Democritus,@candies2639 Isn't Giuliani responsible for researching &amp; writing a report about Biden's activities in Ukraine?  If… https://t.co/P2oQfV83vM,,51,70
Pia_Maximus,@Stephotollc @tknn74 @wdunlap @JoeBiden @KamalaHarris If he personally owes hundreds of millions to Russia.. I trul… https://t.co/by4Dop8NVl,,219,150
bethwishes32," If you are voting for @JoeBiden please Retweet, because I would like to follow you. Thank you!♥️",,419,519
the1murdock,"RT @AllRepublicans: Meanwhile, @JoeBiden is hiding in his #basement playing monopoly with Jill and Hunter Biden😂😆 https://t.co/wymVFpJvvf",['basement'],28158,28653
starryskylol,RT @KarluskaP: Trump Suggests All Biden Did as Vice President Was Kiss Obama’s Ass  https://t.co/GACcfIHg4Z,,1888,2135
gregholder20," I thought Mini Mike was through with Democrat politics after spending almost 2 Billion Dollars, and then giving the wo…",,1960,2840
MiderOne, Retweet if you follow @JoeBiden and @KamalaHarris,,319,2341
americanjo20," This madness has to stop. Rioters are literally trying to kill people.

If #BlackLivesMatter in Compton, let them get the…",['BlackLivesMatter'],100,214
karabff1," Joe Biden cannot LEAD our Country, because he does not BELIEVE in our Country. At Biden’s convention, they decried Ame…",,3391,3415
Deplorable4Trum, .@JoeBiden admitting he asked China’s help in getting elected VP now asks 🇺🇸 to believe he’s capable of leading our nati…,,6244,6866
ace22maya48," Man, Trump just spoke for nearly 2 hours in epic Nevada rally. . Biden can't even talk to James Corden for 5 minutes wit…",,864,719
aljPSL,There are several ways to silence donald trump. My favorite is the ballot box.,,40,136
BespokeKimberly, Biden supporters continue their campaign of mayhem,,585,899
margeecotton1," I thought Mini Mike was through with Democrat politics after spending almost 2 Billion Dollars, and then giving the wo…",,7,36
Clancy_Dew,https://t.co/zhOD9hmNf2 - Joe Biden is the leader we need now,,2990,896
nadiepetah,@BCOOL333 Not a fan of Trump I am one of the millions that support Biden and BLM protesters that Trump wishes he could kill.,,12847,12793
BUSCAP," This is @realDonaldTrump America. Pandemic, economic collapse, wildfires, division. Do you want “more”?",,101,618
Auburngirlx," @ScottAdamsSays It's gotten to the point where I can't even bring myself to make Biden jokes anymore.

It's beyond sad.  It'…",,23188,16906
MaddowRachell," @RichardGrenell @RitaPanahi @JoeBiden @KamalaHarris The @NFL is paying BLM to shoot cops.
Today the @NFL will be honoring BLM.…",,435,889
RisesTop," Joe Biden in office means more cities burned, more cops killed, more mainstream media brainwashing and more normalizati…",,2480,2860
woff253," Sure, Biden has lost a step.

But Trump is nuts, he’s cruel, he’s corrupt, he’s ignorant, he’s lawless, he’s authoritaria…",,323,1058
Dontspitintoth1," I am running for re-election to bring prosperity to Nevada, to put violent criminals behind bars, and to ensure the fu…",,356,689
EngelhrdtMiller," Joe Biden in office means more cities burned, more cops killed, more mainstream media brainwashing and more normalizati…",,67,189
GregBoll, ...The far-left maniacs supporting Joe Biden are burning flags and chanting “America was never great.” But we know the…,,6290,6048
vmasar1, Roger Stone is a racist. Here is Roger Stone with members of the white supremacist group the Proud Boys throwing up the white…,,1779,2129
USA_made1776, @RealJamesWoods Too late. Zero dignity for Biden.,,250,537
ChanChiFung10," I thought Mini Mike was through with Democrat politics after spending almost 2 Billion Dollars, and then giving the wo…",,70,94
LuisRamos_Cruz," I blame the media for inciting this horrific violence on the police.
I blame the silence from @JoeBiden and @KamalaHarr…",,287,340
45isthedevil, I’ve yet to meet anyone who worked alongside Donald Trump who doesn’t believe he is a rapist. @realDonaldTrump,,19,201
kals55,@RepBryanSteil WE WILL NEVER UNITE WHILE TRUMP IS PRESIDENT! https://t.co/6XoyqRZ35z,,2812,5000
Cfairbanks1960," . @Bloomberg has Jen Epstein covering the Biden campaign? 

Are they splitting her salary? She’s a total Republican hat…",,3143,2982
MyrticeMathilda, This week we learned Donald Trump has killed 53 times as many Americans than all the world's terrorists combined.  #TrumpIs…,,72,304
davegj,You mean RINOS and swamp dwellers for Biden,,3848,4244
escuadracap,RT @calculatedrisk: Goldman projects faster recovery under Biden: “the possibility of a large fiscal package under a Democratic sweep skew…,,572,2441
RJAsPandora," Yeah, it worked so well for his own candidacy.",,4117,4947
cohenjanet, We have to amplify @JoeBiden’s presence on this platform. It’s crazy that @realDonaldTrump has so many more followers - or le…,,21,164
tati_vict, I knew @MikeBloomberg was going to come in at the last minute and carpet bomb battleground states. It’s exactly what’s ne…,,3467,5001
rcdailey98,"RT @TeamTrump: President @realDonaldTrump: If Joe Biden wins then the rioters, anarchists and flag burners also win https://t.co/DWBvTjPG1Y",,57,305
Annie78519982," This is a really big deal.  Thank you @MikeBloomberg.  Florida is winnable.  If @JoeBiden wins Florida, which he will,…",,2068,2677
WonderKing82,"""In modern history"" y'all can't erase the history of America because of Donald Trump.",,22194,10771
MLJordan4,@FoxNewsSunday @JoeBiden @realDonaldTrump THESE ARE SOME OF TRUMP CO-BASE...50  progressive groups plan for ‘mass p… https://t.co/mEhpYoZtxt,,2,0
tBzE3aKcPoRrSw8,"@HuersenVan For sure, whiny tRump racists would be flipping out &amp; trashing everything. If the shoe was on the other… https://t.co/HghmvQBIF7",,670,1208
progressivehere, Pay no attention to the polls my friends. Lead voter registration drives. Talk to all the younger people you know. Make…,,1672,3118
bryan_bking12,"RT @MajorPatriot: Trump just said after the horrible ad Biden just ran lying about what Trump said about the military, all bets are off:  ""…",,14276,14193
PhilipCohen5,@ProjectLincoln I look forward to seeing #Trump paraded along Pennsylvania Avenue in a tumbril on the way to his mo… https://t.co/zbNaYslWFj,['Trump'],71,184
rationalsquad,"@PaulwDrake2 @IslandGirlPRV @JoeBiden I wasn't asking, I was informing.

Your view is too optimistic and runs the r… https://t.co/ix1LLA3qtN",,5138,3817
CharlieMcKean11," See the difference of Trump supporters &amp; Biden Supporters!

No one is is yelling in the faces of the police officers, scre…",,296,317
Bolen2001,@hodgetwins Biden with or without a teleprompter. https://t.co/kuf6u8rsIR,,6965,1253
Mr_Yib,"@JoeBiden @charlesjbaldwin ""Sometimes when I fart..."" https://t.co/k92Te83N0c",,1206,871
kidron01,"RT @atrupar: Joe Biden to Jake Tapper on his health: ""When it comes to Donald Trump versus me, just look at us. Okay? Who seems to be in sh…",,1005,1317
NYisBLUE," It’s just so damn amazing how the US survived eight years of Biden as vice president, right? It was so damn clever of him…",,3754,676
haselcheck,RT @johncardillo: They most likely jacked Biden up on drugs for the 9/11 ceremony and now his system is crashing. https://t.co/JL7eXPxxBe,,3955,2853
cotey_mary,RT @michaelscherer: New: Mike Bloomberg to spend at least $100 million in Florida to defeat President Trump https://t.co/KEuuy9zII9,,3248,4993
CultureInStereo,RT @mmfa: Pro-Trump disinformation efforts could tilt the entire election — if media outlets and tech companies let it happen https://t.co/…,,1333,2384
dacatinplaces,@LatinoGroyp @shooter72244165 not as terrible as Trump or Biden thi,,32,220
maggiemurphey," Donald Trump has bent the Republican Party to his will, and is trying to do the same with democracy and reality itself. C…",,168,322
DBootcheck,"RT @HKrassenstein: BREAKING:  Michael Bloomberg is set to spend $100 million in Florida to help Biden defeat Trump.  That's huge!

We all o…",,37,89
Susaninlaguna,"RT @AngelWarrior321: Stay home on November 3rd or Vote for Biden...
And this will be your next Attorney General! https://t.co/6PGlqqZ6wI",,23870,21196
KASbyKAS, This election is OVER !!!,,5174,4845
jimmylemons,"800 million dollars disappears in NY city,,,money was in the custody of deblasio's wife,,,nothing is done

some jer… https://t.co/KkzDjYry6c",,8834,9685
LeslieRegister2,Yay....Bloomberg ..thank you👏👏👏🇺🇸🌊,,293,355
HBICPeacock,"RT @jemelehill: Trump: I didn’t tell Americans about how bad coronavirus was going to be because I didn’t want to create any panic.

Also T…",,272,157
mikesandersd," Corporate DEMS desire to please their corporate donors will be Democracy deathblow NOT TRUMP.
@JoeBiden  @SymoneDSande…",,1132,3052
starrick1,10 Racist Quotes from Joe Biden | US Message Board - Political Discussion Forum https://t.co/O625ne7Itf,,989,584
Aviano27,"RT @costareports: Mike Bloomberg to spend at least $100 million to defeat President Trump, ⁦@michaelscherer⁩ reports  https://t.co/sOFX6kmw…",,1059,4987
dntmama," It's been 12 hours, and california senator, democrat &amp; joe biden's running mate kamala harris has not commented on our…",,815,1311
BritLady008,@JoeBiden 📢 JOE BIDEN IS A DEMENTED FRAUD ‼️HE IS REALLY A  COMMUNIST‼️HERE HE IS LAUGHING WITH VENEZUELAN DICTATOR… https://t.co/hGYETAgpfI,,44,72
ACE72048416,@RichardGrenell @JoeBiden @KamalaHarris She has no balls. She is a pandering piece of shit @KamalaHarris May it bur… https://t.co/8Q7d7TO6gG,,729,1292
JLeposki," As it stands right now, I have seen a good bit of polling that indicates that Mormons in AZ are backing Biden to a surprising…",,75,208
Concerned_Dems,"Is amazing how little Delusional Donald knows about Tech Industry!
-Trump needs to only run his failed hotels, afte… https://t.co/ctsfxcS1Dv",,256,849
Roni_K_Patriot," I was negative 6 when Joe Biden was elected into the senate. In 1997 I had already graduated high school. 
You really d…",,12049,12956
IngwardGold," @ScottAdamsSays It's gotten to the point where I can't even bring myself to make Biden jokes anymore.

It's beyond sad.  It'…",,334,645
RealRichUlloa, Will Biden get a telepromptor at the debates too? 🤣,,10612,11667
CATSMYNAME2,"Domestic terrorist in action, follow the money and you know who else buy's bricks!",,35,138
